reference,arabic,translation_english
1|1,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Merciful, the Compassionate"
1|2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,"Praise be to Allah, the Lord of the entire universe."
1|3,الرَّحْمَـٰنِ الرَّحِيمِ,"The Merciful, the Compassionate"
1|4,مَالِكِ يَوْمِ الدِّينِ,The Master of the Day of Recompense.
1|5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,"You alone do we worship, and You alone do we turn for help"
1|6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,"Direct us on to the Straight Way,"
1|7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,"The way of those whom You have favoured, who did not incur Your wrath, who are not astray."
2|1,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ الم,Alif. Lam. Mim.
2|2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,"This is the Book of Allah: there is no doubt about it. It is guidance to Godfearing people,"
2|3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,"who believe in the unseen, establish the Salats and expend (in Our way) out of what We have bestowed on them;"
2|4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,"who believe in the Book We have sent down to you (i.e. the Qur'an) and in the Books sent down before you, and firmly believe in the Hereafter."
2|5,أُولَـٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَـٰئِكَ هُمُ الْمُفْلِحُونَ,Such people are on the right way from their Lord and such are truly successful.
2|6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,"As for those who have rejected (these things), it is all the same to them whether you warn them or do not warn them: they are not going to believe."
